op,operator_run,status,already_in_ncnn,kernel_numeric,kernel_max_diff,e2e,e2e_max_diff,compile,correctness,correctness_max_diff,native_supported,speedup_shipped,speedup_fair,ours_ms,native_shipped_ms,native_fair_ms
MatMul_1d_3d,True,success,True,success,0.0,True,0.0,True,True,0.0,True,5.0,,0.01,0.05,0.08
MatMul_3d,True,success,True,success,0.0,True,0.0,True,True,0.0,True,2.333,3.5,0.06,0.14,0.21
MatMul_bcast,True,fail,,fail,38.63570022583008,,,,,,,,,,,
MatMul_square,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,,
MaxPool,True,success,True,success,0.0,True,0.0,True,True,0.0,True,2.75,2.125,0.08,0.22,0.17
MaxPool_2d_ceil,True,success,True,success,0.0,True,0.0,True,True,0.0,True,1.333,0.333,0.03,0.04,0.01
MaxPool_2d_dilations,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,0.01,,
MaxPool_2d_same_lower,False,,,,,,,,,,,,,,,
MaxPool_2d_strides,True,success,True,success,0.0,True,0.0,True,True,0.0,True,4.0,3.0,0.01,0.04,0.03
Min,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,0.19,0.0
Mod,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,0.18,0.0
Mul,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,0.35,0.0
Mul_bcast,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,0.03,0.0
Neg,True,success,True,success,0.0,True,0.0,True,True,0.0,True,3.0,1.333,0.09,0.27,0.12
Not,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
OneHot,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
PRelu,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,,
Pow,True,success,True,success,7.62939453125e-06,True,5.340576171875e-05,True,True,5.340576171875e-05,True,,,,,
RNN,True,fail,,fail,0.9338730573654175,,,,,,,,,,,
ROIAlign,False,,,,,,,,,,,,,,,
Range,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
Reciprocal,True,success,True,success,0.0,True,7.078051567077637e-07,True,True,7.078051567077637e-07,True,2.25,1.333,0.04,0.09,0.04
ReduceL1,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,0.01,0.01
ReduceL1_2d_input,True,success,True,success,0.0,True,6.103515625e-05,True,True,6.103515625e-05,True,1.0,1.0,0.01,0.01,0.01
ReduceL1_multiple_axes,True,success,True,success,9.5367431640625e-07,True,9.5367431640625e-07,True,True,9.5367431640625e-07,True,,,,0.0,0.0
ReduceL1_negative_axes_keepdims,True,fail,,fail,,,,,,,,,,,,
ReduceL2,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,0.01,0.0
ReduceL2_2d_input,True,success,True,success,3.814697265625e-06,True,9.5367431640625e-07,True,True,9.5367431640625e-07,True,1.0,1.0,0.01,0.01,0.01
ReduceL2_keepdims,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,0.01,0.01
ReduceL2_multiple_axes,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,0.0,0.0
ReduceLogSumExp,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,0.01,0.01
ReduceLogSumExp_2d_input,True,success,True,success,4.76837158203125e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,True,2.308,2.308,0.13,0.3,0.3
ReduceLogSumExp_keepdims,True,success,True,success,0.0,True,0.0,True,True,0.0,True,1.0,1.0,0.01,0.01,0.01
ReduceLogSumExp_multiple_axes,True,success,True,success,0.0,True,0.0,True,True,0.0,True,1.0,1.0,0.01,0.01,0.01
ReduceMax,True,success,True,success,0.0,True,0.0,True,True,0.0,True,7.0,6.974,2.7,18.9,18.83
ReduceMax_empty_axes,True,success,True,success,0.0,True,0.0,True,True,0.0,True,1.0,1.0,1.98,1.98,1.98
ReduceMax_with_negative_values,True,success,True,success,0.0,True,0.0,True,True,0.0,True,8.831,8.813,2.19,19.34,19.3
ReduceMean,True,success,True,success,4.172325134277344e-07,True,4.172325134277344e-07,True,True,4.172325134277344e-07,True,6.93,6.963,2.73,18.92,18.87
ReduceMean_keepdims,True,success,True,success,2.980232238769531e-07,True,2.980232238769531e-07,True,True,2.980232238769531e-07,True,5.911,6.177,13.43,79.39,79.37
ReduceMean_multiple_axes,True,success,True,success,1.430511474609375e-06,True,2.384185791015625e-07,True,True,2.384185791015625e-07,True,1.011,1.011,0.94,0.95,0.95
ReduceMin,True,success,True,success,0.0,True,0.0,True,True,0.0,True,9.711,9.543,0.45,4.37,4.39
ReduceMin_empty_axes,True,success,True,success,0.0,True,0.0,True,True,0.0,True,1.143,1.143,0.07,0.08,0.08
ReduceMin_with_negative_values,True,success,True,success,0.0,True,0.0,True,True,0.0,True,8.954,8.818,2.17,19.43,19.4
ReduceProd,True,success,True,success,0.0,True,0.0,True,True,0.0,True,2.765,2.706,0.17,0.47,0.46
ReduceProd_1d,True,success,True,success,1.401298464324817e-45,True,0.0,True,True,0.0,True,1.0,1.0,0.01,0.01,0.01
ReduceProd_keepdims,True,success,True,success,0.0,True,0.0,True,True,0.0,True,7.913,7.826,0.23,1.82,1.8
ReduceSum,True,success,True,success,5.340576171875e-05,True,5.340576171875e-05,True,True,5.340576171875e-05,True,5.507,5.522,0.67,3.69,3.7
ReduceSum_empty_axes,True,success,True,success,0.0068359375,True,0.0,True,True,0.0,True,1.0,1.0,0.02,0.02,0.02
ReduceSum_multiple_axes,True,success,True,success,0.000244140625,True,0.000244140625,True,True,0.000244140625,True,1.0,1.0,0.94,0.94,0.94
Relu,True,success,True,success,0.0,True,0.0,True,True,0.0,True,5.722,1.579,0.18,1.03,0.3
Reshape,True,success,True,success,0.0,True,0.0,True,True,0.0,True,12.833,1.0,0.06,0.77,0.06
Round,True,success,True,success,0.0,True,0.0,True,True,0.0,True,2.451,0.995,2.06,5.05,2.07
ScatterElements,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
Sign,True,success,True,success,0.0,True,0.0,True,True,0.0,True,2.643,0.929,0.14,0.37,0.13
Sin,True,success,True,success,5.960464477539063e-08,True,5.960464477539063e-08,True,True,5.960464477539063e-08,True,1.0,1.0,0.02,0.02,0.02
Sinh,True,success,True,success,3.814697265625e-06,True,3.814697265625e-06,True,True,3.814697265625e-06,True,0.866,0.953,9.0,7.79,8.58
Slice,True,success,True,success,0.0,True,0.0,True,True,0.0,True,,,,0.01,0.0
Softmax,True,success,True,success,1.3969838619232178e-09,True,5.820766091346741e-10,True,True,5.820766091346741e-10,True,0.229,0.263,14.84,3.4,2.89
Softplus_2d,True,success,True,success,1.1920928955078125e-07,True,1.1920928955078125e-07,True,True,1.1920928955078125e-07,True,2.25,2.25,0.04,0.09,0.09
Softplus_3d,True,success,True,success,1.1920928955078125e-07,True,1.1920928955078125e-07,True,True,1.1920928955078125e-07,True,2.013,2.013,0.75,1.51,1.51
Sqrt,True,success,True,success,0.0,True,0.0,True,True,0.0,True,2.5,1.5,0.02,0.05,0.03
Stft,True,fail,False,success,4.76837158203125e-07,False,,,,,,,,,,
