op,operator_run,status,already_in_ncnn,decomposed,optimization_lands,kernel_numeric,kernel_max_diff,e2e,e2e_max_diff,compile,correctness,correctness_max_diff,device_status,device_latency,device_speedup,native_supported,speedup_shipped,speedup_fair,ours_ms,native_shipped_ms,native_fair_ms
LogSoftmax_axis_2,True,success,True,True,False,success,9.5367431640625e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,passed,0.0591,,True,1.25,0.857,0.04,0.05,0.06
LogicalXor,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1454,,False,,,,,
LogicalXor3d,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1486,,False,,,,,
LogicalXor_2d,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.036,,False,,,,,
MatMul,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,1.747,,True,,,,,
MatMul_1d_3d,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0075,,True,5.0,,0.01,0.05,0.08
MatMul_3d,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0595,,True,2.333,3.5,0.06,0.14,0.21
MatMul_bcast,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.2218,,,,,,,
MatMul_square,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.4412,,True,,,,,
MaxPool,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0149,,True,2.75,2.125,0.08,0.22,0.17
MaxPool_2d_ceil,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.006,,True,1.333,0.333,0.03,0.04,0.01
MaxPool_2d_dilations,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0017,,False,,,0.01,,
MaxPool_2d_same_lower,True,fail,,False,True,fail,,,,,,,,,,,,,,,
MaxPool_2d_strides,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0043,,True,4.0,3.0,0.01,0.04,0.03
Min,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.8346,,True,,,,0.19,0.0
Mod,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.4962,,True,,,,0.18,0.0
Mul,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.8277,,True,,,,0.35,0.0
Mul_bcast,True,success,True,True,False,success,0.0,True,0.0,True,True,0.0,passed,0.0435,,True,,,,0.03,0.0
Neg,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.6742,,True,3.0,1.333,0.09,0.27,0.12
Not,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0421,,False,,,,,
OneHot,True,fail,False,False,True,success,0.0,False,,,,,passed,0.0272,,False,,,,,
PRelu,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0706,,True,,,,,
Pow,True,success,True,False,True,success,7.62939453125e-06,True,5.340576171875e-05,True,True,5.340576171875e-05,passed,3.4529,,True,,,,,
RNN,True,fail,,False,True,fail,1.2104493379592896,,,,,,,,,,,,,,
ROIAlign,False,,,False,True,,,,,,,,,,,,,,,,
Range,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0003,,False,,,,,
Reciprocal,True,success,True,False,True,success,0.0,True,7.450580596923828e-09,True,True,7.450580596923828e-09,passed,0.0284,,True,2.25,1.333,0.04,0.09,0.04
ReduceL1,True,success,True,True,False,success,0.0,True,0.0,True,True,0.0,passed,0.0001,,True,,,,0.01,0.01
ReduceL1_2d_input,True,success,True,False,True,success,0.0,True,6.103515625e-05,True,True,6.103515625e-05,passed,0.0017,,True,1.0,1.0,0.01,0.01,0.01
ReduceL1_multiple_axes,True,success,True,False,True,success,9.5367431640625e-07,True,9.5367431640625e-07,True,True,9.5367431640625e-07,passed,0.0001,,True,,,,0.0,0.0
ReduceL1_negative_axes_keepdims,True,fail,,False,True,fail,,,,,,,,,,,,,,,
ReduceL2,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0003,,True,,,,0.01,0.0
ReduceL2_2d_input,True,success,True,False,True,success,9.5367431640625e-07,True,9.5367431640625e-07,True,True,9.5367431640625e-07,passed,0.0017,,True,1.0,1.0,0.01,0.01,0.01
ReduceL2_keepdims,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0003,,True,,,,0.01,0.01
ReduceL2_multiple_axes,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0003,,True,,,,0.0,0.0
ReduceLogSumExp,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0005,,True,,,,0.01,0.01
ReduceLogSumExp_2d_input,True,success,True,False,True,success,4.76837158203125e-07,True,4.76837158203125e-07,True,True,4.76837158203125e-07,passed,0.0185,,True,2.308,2.308,0.13,0.3,0.3
ReduceLogSumExp_keepdims,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0004,,True,1.0,1.0,0.01,0.01,0.01
ReduceLogSumExp_multiple_axes,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0004,,True,1.0,1.0,0.01,0.01,0.01
ReduceMax,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,4.3089,,True,7.0,6.974,2.7,18.9,18.83
ReduceMax_empty_axes,True,success,True,True,False,success,0.0,True,0.0,True,True,0.0,passed,4.1048,,True,1.0,1.0,1.98,1.98,1.98
ReduceMax_with_negative_values,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,4.6989,,True,8.831,8.813,2.19,19.34,19.3
ReduceMean,True,success,True,False,True,success,4.172325134277344e-07,True,4.172325134277344e-07,True,True,4.172325134277344e-07,passed,4.6657,,True,6.93,6.963,2.73,18.92,18.87
ReduceMean_keepdims,True,success,True,False,True,success,2.980232238769531e-07,True,2.980232238769531e-07,True,True,2.980232238769531e-07,passed,10.2511,,True,5.911,6.177,13.43,79.39,79.37
ReduceMean_multiple_axes,True,success,True,False,True,success,1.430511474609375e-06,True,1.1920928955078125e-07,True,True,1.1920928955078125e-07,passed,0.9428,,True,1.011,1.011,0.94,0.95,0.95
ReduceMin,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.524,,True,9.711,9.543,0.45,4.37,4.39
ReduceMin_empty_axes,True,success,True,True,False,success,0.0,True,0.0,True,True,0.0,passed,0.0754,,True,1.143,1.143,0.07,0.08,0.08
ReduceMin_with_negative_values,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,4.6432,,True,8.954,8.818,2.17,19.43,19.4
ReduceProd,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1198,,True,2.765,2.706,0.17,0.47,0.46
ReduceProd_1d,True,success,True,True,False,success,1.401298464324817e-45,True,0.0,True,True,0.0,passed,0.0013,,True,1.0,1.0,0.01,0.01,0.01
ReduceProd_keepdims,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.512,,True,7.913,7.826,0.23,1.82,1.8
ReduceSum,True,success,True,False,True,success,5.340576171875e-05,True,5.340576171875e-05,True,True,5.340576171875e-05,passed,0.4706,,True,5.507,5.522,0.67,3.69,3.7
ReduceSum_empty_axes,True,success,True,False,True,success,0.0009765625,True,0.0,True,True,0.0,passed,0.0017,,True,1.0,1.0,0.02,0.02,0.02
ReduceSum_multiple_axes,True,fail,,False,True,fail,,,,,,,,,,True,1.0,1.0,0.94,0.94,0.94
Relu,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0647,,True,5.722,1.579,0.18,1.03,0.3
Reshape,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.6935,,True,12.833,1.0,0.06,0.77,0.06
Round,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,4.381,,True,2.451,0.995,2.06,5.05,2.07
ScatterElements,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0881,,False,,,,,
Sign,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.3377,,True,2.643,0.929,0.14,0.37,0.13
Sin,True,success,True,False,True,success,5.960464477539063e-08,True,5.960464477539063e-08,True,True,5.960464477539063e-08,passed,0.0619,,True,1.0,1.0,0.02,0.02,0.02
Sinh,True,success,True,False,True,success,3.814697265625e-06,True,3.814697265625e-06,True,True,3.814697265625e-06,passed,12.583,,True,0.866,0.953,9.0,7.79,8.58
Slice,True,fail,True,False,True,success,0.0,False,,,,,passed,0.0003,,True,,,,0.01,0.0
Softmax,True,success,True,False,True,success,1.3969838619232178e-09,True,5.820766091346741e-10,True,True,5.820766091346741e-10,passed,0.8007,,True,0.229,0.263,14.84,3.4,2.89
Softplus_2d,True,success,True,False,True,success,1.1920928955078125e-07,True,1.1920928955078125e-07,True,True,1.1920928955078125e-07,passed,0.0064,,True,2.25,2.25,0.04,0.09,0.09
Softplus_3d,True,success,True,False,True,success,1.1920928955078125e-07,True,1.1920928955078125e-07,True,True,1.1920928955078125e-07,passed,0.892,,True,2.013,2.013,0.75,1.51,1.51
Sqrt,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0483,,True,2.5,1.5,0.02,0.05,0.03
Stft,True,fail,,False,True,fail,0.055005669593811035,,,,,,,,,,,,,,
Strassen_Convolution_2D,True,success,True,False,True,success,0.0,True,0.0009322166442871094,True,True,0.0009322166442871094,passed,3.8903,,True,0.088,0.09,37.52,3.3,3.42
StridedSlice,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.5215,,True,3.667,0.333,0.03,0.11,0.01
Sub,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.3578,,True,6.25,0.25,0.04,0.25,0.01
Tan,True,success,True,False,True,success,1.52587890625e-05,True,0.015625,True,True,0.015625,passed,4.3814,,True,2.326,0.875,1.84,4.28,1.61
Tanh,True,success,True,False,True,success,5.960464477539063e-08,True,2.384185791015625e-07,True,True,2.384185791015625e-07,passed,0.7122,,True,1.159,1.136,0.44,0.51,0.5
Tile,True,success,True,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.4176,,,,,,,
TopK,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.212,,False,,,5.76,,
TopK_3d,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.9446,,False,,,0.05,,
TopK_dim0,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.1279,,False,,,0.34,,
